stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone                                                                                                                                                                                                                                           
11602,,Hendaya,,43.352298,-1.783081,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
11600,,Irun,,43.339582,-1.800192,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
11511,,San Sebastian/Donostia,,43.317669,-1.976704,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                          
11400,,Zumarraga,,43.087327,-2.319864,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
11300,,Altsasu/Alsasua-Estacion,,42.894847,-2.181237,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                        
11208,,Vitoria/Gasteiz,,42.841517,-2.672601,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                 
11200,,Miranda de Ebro,,42.691024,-2.940366,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                 
11109,,Briviesca,,42.542765,-3.319287,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
11014,,Burgos-Rosa de Lima,,42.371197,-3.666308,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                             
14100,,Palencia,,42.015711,-4.534135,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
15007,,Villada,,42.245238,-4.970589,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
15009,,Sahagun,,42.369329,-5.022667,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
15100,,Leon,,42.596048,-5.582428,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
20100,,Astorga,,42.459489,-6.047212,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
20111,,Bembibre,,42.609558,-6.422048,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
20200,,Ponferrada,,42.545429,-6.602376,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                      
20211,,O Barco de Valdeorras,,42.418301,-6.98503,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                            
20213,,A Rua-Petin,,42.39276,-7.113284,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                      
20300,,Monforte de Lemos,,42.529682,-7.503589,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                               
22100,,Ourense,,42.350389,-7.872777,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
31400,,Santiago de Compostela,,42.870842,-8.544697,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                          
22308,,Vigo Guixar,,42.239503,-8.711817,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                     
13200,,Bilbao-Abando Indalecio Prieto,,43.260440,-2.928060,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                  
13106,,Llodio,,43.142364,-2.960652,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
22200,,Guillarei,,42.065663,-8.62253,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
22300,,Redondela,,42.286005,-8.619402,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
20104,,Brañuelas,,42.632631,-6.201002,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
81002,,Haro,,42.583635,-2.849396,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
81100,,Logroño,,42.457459,-2.442193,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
81108,,Calahorra,,42.310458,-1.957755,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
81110,,Alfaro,,42.186525,-1.747985,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
81200,,Castejon de Ebro,,42.172719,-1.692114,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                
81202,,Tudela de Navarra,,42.059434,-1.597931,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                               
04040,,Zaragoza-Delicias,,41.658649,-0.911605,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                               
78400,,Lleida,,41.620696,0.632669,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                           
04104,,Camp Tarragona,,41.192066,1.272666,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                   
80100,,Pamplona/Iruña,,42.824877,-1.661419,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                  
80108,,Tafalla,,42.525756,-1.671467,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
60000,,Madrid-Puerta de Atocha,,40.406442,-3.690886,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                         
04007,,Guadalajara - Yebes,,40.587315,-3.124301,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                             
70600,,Calatayud,,41.346692,-1.63868,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
20216,,San Clodio-Quiroga,,42.465271,-7.287198,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                              
10600,,Valladolid,,41.642167,-4.726986,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                      
15410,,Gijon,,43.5377550,-5.6755743,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
15106,,La Robla,,42.804454,-5.626255,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                        
15122,,Pola de Lena,,43.158653,-5.831018,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                    
15203,,Mieres-Puente,,43.250001,-5.782242,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                   
15211,,Oviedo,,43.366323,-5.854871,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
51003,,Sevilla-Santa Justa,,37.391863,-5.975339,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                             
79400,,Barcelona-Estacio de França,,41.384535,2.18519,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                       
71700,,Vilanova I La Geltru,,41.220389,1.730722,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                             
50400,,Espeluy,,38.010247,-3.832726,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
50403,,Andujar,,38.028225,-4.066036,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
50500,,Cordoba,,37.888291,-4.789453,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
81109,,Rincon de Soto,,42.230011,-1.847473,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                  
20400,,Betanzos-Infesta,,43.270698,-8.225847,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                
20317,,Curtis,,43.127232,-8.143155,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
20309,,Lugo,,43.015222,-7.552176,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
20305,,Sarria,,42.784049,-7.418822,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                          
22201,,O Porriño,,42.16419,-8.62202,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
03216,,Valencia Joaquin Sorolla,,39.459051,-0.382923,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                        
65411,,Port Aventura,,41.08707,1.145486,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                     
65304,,Orpesa/Oropesa del Mar,,40.092258,0.139861,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
65200,,Sagunt/Sagunto,,39.675761,-0.271544,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                  
65409,,Cambrils,,41.069352,1.052957,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                         
54413,,Malaga Maria Zambrano,,36.711968,-4.431835,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
02002,,Puente Genil-Herrera,,37.3579,-4.821638,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                              
02003,,Antequera-Santa Ana,,37.069881,-4.719014,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                             
51405,,Cadiz,,36.52945,-6.289351,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                            
51406,,San Fernando-Bahia Sur,,36.468230,-6.206616,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                          
51400,,Puerto de Santa Maria,,36.604073,-6.217843,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                           
51300,,Jerez de La Frontera,,36.679929,-6.126851,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                            
37200,,Ciudad Real,,38.9853,-3.913633,,,,,Europe/Madrid                                                                                                                                                                                                                                                                                                       
